DATE,WASH911BP1FHSA
2008-01-01,925.0319161744529
2008-02-01,821.847523904769
2008-03-01,732.449500530528
2008-04-01,792.792527081704
2008-05-01,646.662504917799
2008-06-01,768.646617222382
2008-07-01,775.213682025562
2008-08-01,762.238755649518
2008-09-01,734.56821409293
2008-10-01,1166.0000150516198
2008-11-01,614.970433611124
2008-12-01,678.63799300351
2009-01-01,611.29667239372
2009-02-01,657.580684674082
2009-03-01,672.464400826129
2009-04-01,750.224422986424
2009-05-01,606.830620396118
2009-06-01,761.1369157729131
2009-07-01,835.17016753481
2009-08-01,673.547731004305
2009-09-01,855.020635152081
2009-10-01,877.934068147677
2009-11-01,806.97335054938
2009-12-01,931.2281917234039
2010-01-01,825.82312722099
2010-02-01,536.471861238643
2010-03-01,912.020471847117
2010-04-01,915.4007367242019
2010-05-01,736.9913572354269
2010-06-01,725.883432292527
2010-07-01,719.7835970567619
2010-08-01,802.370790001346
2010-09-01,787.607060695821
2010-10-01,628.091124362984
2010-11-01,798.787597400226
2010-12-01,655.751600115678
2011-01-01,749.689905852641
2011-02-01,747.241747494124
2011-03-01,754.387463333618
2011-04-01,686.066766851383
2011-05-01,803.9773189411591
2011-06-01,781.4430149624691
2011-07-01,794.6504588294749
2011-08-01,851.559182321237
2011-09-01,787.3860820751829
2011-10-01,821.7873370960381
2011-11-01,744.338958556224
2011-12-01,935.508751252058
2012-01-01,896.0813474196581
2012-02-01,1082.60684979368
2012-03-01,712.381572854135
2012-04-01,702.192537413641
2012-05-01,1056.08658490252
2012-06-01,924.680009293622
2012-07-01,879.886174781239
2012-08-01,1022.2653054314999
2012-09-01,973.7489726521769
2012-10-01,969.9972225474969
2012-11-01,1078.0517724681301
2012-12-01,1088.79502088609
2013-01-01,1106.73769617214
2013-02-01,1320.12237746399
2013-03-01,1268.07411922625
2013-04-01,1329.61208516038
2013-05-01,1257.19841477345
2013-06-01,932.80303093343
2013-07-01,1309.28611346235
2013-08-01,1057.24924989491
2013-09-01,1094.7753955271698
2013-10-01,1297.4121966009698
2013-11-01,1195.7259997519802
2013-12-01,1008.9723212014501
2014-01-01,1076.30225937651
2014-02-01,1060.44083192538
2014-03-01,1056.8188586633198
2014-04-01,1076.32431998384
2014-05-01,1147.78463860593
2014-06-01,1036.3521235231199
2014-07-01,1060.80913830827
2014-08-01,1139.51960351436
2014-09-01,1160.71371736976
2014-10-01,1067.28639992022
2014-11-01,1070.8246296187301
2014-12-01,946.104824128867
2015-01-01,1027.49273016563
2015-02-01,799.094375874961
2015-03-01,944.6777263389031
2015-04-01,1033.61565547282
2015-05-01,947.8715475015421
2015-06-01,1167.00412679544
2015-07-01,1138.8707982247802
2015-08-01,1004.2286976514399
2015-09-01,1016.0816877683699
2015-10-01,1194.08428218769
2015-11-01,976.1831905094031
2015-12-01,1193.7388574231402
2016-01-01,1131.75696278308
2016-02-01,992.859372966097
2016-03-01,1112.1799977305302
2016-04-01,1019.5077418911699
2016-05-01,1047.89344966715
2016-06-01,1051.3670743104801
2016-07-01,971.649751827742
2016-08-01,1248.27336170609
2016-09-01,1097.55138706919
2016-10-01,942.348318725053
2016-11-01,1126.5256243241902
2016-12-01,1286.01489850033
2017-01-01,1084.0403848656401
2017-02-01,1243.52030213604
2017-03-01,1293.18391548149
2017-04-01,1075.82883594089
2017-05-01,1321.10701317283
2017-06-01,1178.70901789432
2017-07-01,1138.92774926276
2017-08-01,1247.0295230176
2017-09-01,1429.37249310489
2017-10-01,1163.98250953464
2017-11-01,1310.84962659137
